"Rank","Root Domain","Linking Root Domains","Domain Authority"
"271","as.com","159,380","93"
"272","disney.com","254,024","93"
"273","mashable.com","443,123","93"
"274","eventbrite.com","655,589","93"
"275","google.nl","252,690","93"
"276","discord.com","398,794","93"
"277","stanford.edu","647,100","93"
"278","rambler.ru","936,295","93"
"279","plos.org","311,700","93"
"280","playstation.com","251,436","93"
"281","wired.com","690,965","93"
"282","detik.com","426,608","93"
"283","nydailynews.com","397,844","93"
"284","twitch.tv","469,698","93"
"285","google.ru","200,032","93"
"286","hugedomains.com","16,286,174","93"
"287","ted.com","640,771","93"
"288","weibo.com","1,402,592","93"
"289","rakuten.co.jp","646,044","93"
"290","academia.edu","395,502","93"
"291","lexpress.fr","120,956","93"
"292","e-monsite.com","147,784","93"
"293","urbandictionary.com","259,580","93"
"294","bloglovin.com","547,279","93"
"295","linktr.ee","427,495","93"
"296","surveymonkey.com","451,746","93"
"297","rtve.es","190,025","93"
"298","webnode.page","513,133","93"
"299","finance.yahoo.com","486,860","93"
"300","outlook.com","372,403","93"
"301","books.google.com","439,937","93"
"302","xing.com","497,454","93"
"303","hubspot.com","337,250","93"
"304","thetimes.co.uk","421,509","93"
"305","leparisien.fr","144,121","93"
"306","offset.com","1,621,891","93"
"307","pbs.org","548,403","93"
"308","newyorker.com","436,174","93"
"309","instagram.com","27,139,133","93"
"310","cnil.fr","224,290","93"
"311","elmundo.es","242,800","93"
"312","wiley.com","635,289","93"
"313","rt.com","320,868","93"
"314","sciencemag.org","325,466","93"
"315","tripadvisor.com","735,795","93"
"316","ipv4.google.com","335,917","93"
"317","mit.edu","716,774","93"
"318","freepik.com","347,125","93"
"319","privacyshield.gov","425,931","93"
"320","oracle.com","607,245","93"
"321","cnbc.com","578,242","93"
"322","nginx.com","692,443","93"
"323","godaddy.com","2,531,229","93"
"324","ggpht.com","788,206","93"
"325","windows.net","406,980","93"
"326","cbc.ca","499,203","93"
"327","sakura.ne.jp","398,068","93"
"328","spotify.com","1,543,274","93"
"329","nbcnews.com","700,159","93"
"330","dw.com","400,496","93"
"331","doi.org","524,588","93"
"332","aol.com","693,971","93"
"333","20minutos.es","176,676","93"
"334","gooyaabitemplates.com","518,210","93"
"335","xbox.com","201,082","93"
"336","unesco.org","340,795","93"
"337","icann.org","644,536","93"
"338","abc.es","208,004","93"
"339","sendspace.com","153,845","93"
"340","gmail.com","215,172","93"
"341","alexa.com","319,878","93"
"342","ft.com","502,350","93"
"343","canada.ca","274,809","93"
"344","ziddu.com","191,000","93"
"345","sedo.com","2,702,898","93"
"346","amazon.it","157,636","93"
"347","cpanel.com","1,054,528","93"
"348","gofundme.com","356,606","93"
"349","pexels.com","342,444","93"
"350","cornell.edu","465,155","93"
"351","zendesk.com","525,219","93"
"352","addtoany.com","706,046","93"
"353","sciencedaily.com","371,759","93"
"354","insider.com","368,117","93"
"355","clarin.com","147,779","93"
"356","sputniknews.com","193,107","93"
"357","www.gov.br","158,348","93"
"358","engadget.com","450,027","93"
"359","theatlantic.com","580,586","93"
"360","timeweb.ru","605,362","93"
"361","www.over-blog.com","814,858","93"
"362","goodreads.com","910,826","93"
"363","yadi.sk","176,920","93"
"364","xinhuanet.com","593,520","93"
"365","theverge.com","414,432","93"
"366","code.google.com","322,985","93"
"367","sciencedirect.com","659,216","93"
"368","alicdn.com","534,796","93"
"369","about.com","749,674","93"
"370","harvard.edu","771,509","93"
"371","espn.com","397,520","93"
"372","photobucket.com","1,755,080","93"
"373","metro.co.uk","277,201","93"
"374","www.canalblog.com","408,713","93"
"375","reg.ru","415,941","93"
"376","googleblog.com","268,116","93"
"377","psychologytoday.com","389,719","93"
"378","gizmodo.com","410,304","93"
"379","naver.com","514,489","93"
"380","qq.com","4,186,708","93"
"381","ikea.com","369,400","93"
"382","ea.com","209,786","93"
"383","google.ca","342,626","93"
"384","prezi.com","332,215","93"
"385","doubleclick.net","596,580","93"
"386","cambridge.org","352,605","93"
"387","unsplash.com","588,178","93"
"388","springer.com","511,843","93"
"389","dribbble.com","638,780","92"
"390","billboard.com","234,872","92"
"391","nikkei.com","251,798","92"
"392","bitly.com","391,663","92"
"393","allaboutcookies.org","413,626","92"
"394","variety.com","309,244","92"
"395","pewresearch.org","318,982","92"
"396","gsmarena.com","125,666","92"
"397","nsw.gov.au","230,309","92"
"398","getbootstrap.com","211,376","92"
"399","epa.gov","367,779","92"
"400","interia.pl","163,117","92"
"401","lycos.com","682,584","92"
"402","intuit.com","290,803","92"
"403","genius.com","210,388","92"
"404","snapchat.com","212,697","92"
"405","bbci.co.uk","234,751","92"
"406","viglink.com","403,950","92"
"407","gutenberg.org","204,204","92"
"408","yale.edu","341,565","92"
"409","fbsbx.com","547,330","92"
"410","geocities.com","556,017","92"
"411","ameblo.jp","736,767","92"
"412","storage.canalblog.com","314,768","92"
"413","chicagotribune.com","381,037","92"
"414","megaupload.com","257,656","92"
"415","scholar.google.com","252,661","92"
"416","m.me","242,453","92"
"417","sports.yahoo.com","225,978","92"
"418","wisc.edu","313,008","92"
"419","umich.edu","359,207","92"
"420","focus.de","161,531","92"
"421","blackberry.com","146,305","92"
"422","hindustantimes.com","240,236","92"
"423","gfycat.com","150,350","92"
"424","liberation.fr","128,514","92"
"425","psu.edu","334,435","92"
"426","scientificamerican.com","337,341","92"
"427","theglobeandmail.com","268,978","92"
"428","worldbank.org","290,979","92"
"429","statista.com","358,353","92"
"430","corriere.it","183,076","92"
"431","usc.edu","244,067","92"
"432","tinypic.com","646,344","92"
"433","bp1.blogger.com","556,797","92"
"434","adweek.com","206,867","92"
"435","faz.net","194,489","92"
"436","usgs.gov","241,933","92"
"437","politico.com","295,935","92"
"438","airbnb.com","225,217","92"
"439","parallels.com","547,228","92"
"440","mysql.com","424,245","92"
"441","cutt.ly","163,456","92"
"442","amazon.ca","239,405","92"
"443","oecd.org","213,553","92"
"444","ibb.co","164,661","92"
"445","telegra.ph","287,673","92"
"446","orange.fr","179,972","92"
"447","zeit.de","189,361","92"
"448","steamcommunity.com","206,623","92"
"449","uber.com","151,410","92"
"450","about.me","363,452","92"
"451","digg.com","834,883","92"
"452","fifa.com","184,793","92"
"453","slate.com","396,931","92"
"454","indiegogo.com","268,701","92"
"455","my.yahoo.com","1,197,039","92"
"456","foursquare.com","283,482","92"
"457","sina.com.cn","1,006,118","92"
"458","smh.com.au","317,586","92"
"459","asus.com","169,678","92"
"460","coursera.org","191,798","92"
"461","techradar.com","177,590","92"
"462","garanteprivacy.it","121,832","92"
"463","google.co.id","192,604","92"
"464","pnas.org","241,686","92"
"465","kotaku.com","146,935","92"
"466","mynavi.jp","131,897","92"
"467","trello.com","289,116","92"
"468","barnesandnoble.com","399,558","92"
"469","utexas.edu","283,126","92"
"470","merriam-webster.com","322,160","92"
